AIRCRAFT TYPES	Description	Wake	Body	Number of seats	ULD / Loose
A500	Adam: A-500	L		0	
A700	Adam: A-700 AdamJet 	L		0	
G222	Aeritalia: C-27A Spartan 	M		0	
C27J	Aeritalia: C-27J Spartan 	M		0	
LA60	Aermacchi / Macchi: AL-60 	L		0	
AM3	Aermacchi / Macchi: AM-3 	L		0	
L90	Aermacchi / Macchi: M-290TP Redigo 	L		0	
Y130	Aermacchi / Macchi: M-346 	M		0	
M308	Aermacchi / Macchi: MB-308 	L		0	
M326	Aermacchi / Macchi: MB-326 	L		0	
M339	Aermacchi / Macchi: MB-339 	L		0	
F260	Aermacchi / Macchi: SF-260	L		0	
AB11	Aero Boero: AB-115 	L		0	
AB15	Aero Boero: AB-150	L		0	
AB18	Aero Boero: AB-180 	L		0	
AB95	Aero Boero: AB-95	L		0	
JCOM	Aero Commander: 1121 Jet Commander	M		0	
AC50	Aero Commander: 500 Commander 500 	L		0	
AC56	Aero Commander: 560 Commander 560 	L		0	
AC68	Aero Commander: 680F Commander	L		0	
AC6L	Aero Commander: 680FL Grand Commander 	L		0	
AC80	Aero Commander: 680T / 680V Turbo Commander 	L		0	
AC72	Aero Commander: 720 Alti Cruiser	L		0	
A9	Aero Commander: A-9 Ag Commander 	L		0	
CLB1	Aero Commander: Ag Commander (B-1) 	L		0	
VO10	Aero Commander: Commander 100 	L		0	
M200	Aero Commander: Commander 200	L		0	
SS2P	Aero Commander: S-2 Ag Commander 	L		0	
A270	AERO: Ae-270 Ibis 	L		0	
AE45	AERO: Ae-45 / Ae-145	L		0	
L159	AERO: L-159 Albatros 2 	M		0	
L29	AERO: L-29 Delfin 	L		0	
L39	AERO: L-39 Albatros 	L		0	
L59	AERO: L-59	L		0	
L60	AERO: L-60 Brigadyr 	L		0	
MG15	AERO: S-102 	L		0	
AR11	Aeronca: 11 Chief 	L		0	
AR15	Aeronca: 15 Sedan 	L		0	
CH7A	Aeronca: 7 Champion	L		0	
AS32	Aerospatiale / SNIAS: AS-332 Mk1 Super Puma	M		0	
AS3B	Aerospatiale / SNIAS: AS-332 Mk2 Super Puma	M		0	
AS50	Aerospatiale / SNIAS: AS-350 AStar 	L		0	
AS55	Aerospatiale / SNIAS: AS-355 Ecureuil 2 	L		0	
AS65	Aerospatiale / SNIAS: AS-365 Dauphin 2 / AS-366 Dolphin 	L		0	
FOUG	Aerospatiale / SNIAS: CM-170R Magister 	L		0	
N262	Aerospatiale / SNIAS: Fr	M		0	
LAMA	Aerospatiale / SNIAS: SA-315 Lama 	L		0	
ALO3	Aerospatiale / SNIAS: SA-316 / SA-319 Alouette 3 	L		0	
ALO2	Aerospatiale / SNIAS: SA-318 Alouette 2 	L		0	
FREL	Aerospatiale / SNIAS: SA-321 Super Frelon 	M		0	
PUMA	Aerospatiale / SNIAS: SA-330 Puma 	L		0	
GAZL	Aerospatiale / SNIAS: SA-341 / SA-342 Gazelle 	L		0	
S360	Aerospatiale / SNIAS: SA-360 Dauphin 	L		0	
S65C	Aerospatiale / SNIAS: SA-365C Dauphin 2 	L		0	
S210	Aerospatiale / SNIAS: SE-210 Caravelle 	M		0	
S601	Aerospatiale / SNIAS: SN-601 Corvette 	L		0	
TB30	Aerospatiale / SNIAS: TB-30 Epsilon 	L		0	
YK52	Aerostar: Yak-52 	L		0	
PTS1	Aerotek: Pitts S-1 Special 	L		0	
PTS2	Aerotek: Pitts S-2 Special 	L		0	
TOUR	AESL: Airtourer 	L		0	
CT4	AESL: CT-4 Airtrainer 	L		0	
AA5	AGAC: AG-5 Tiger 	L		0	
G64T	Ag-Cat: G-164 Super Turbine 	L		0	
A109	Agusta / AgustaWestland: A-109 	L		0	
A119	Agusta / AgustaWestland: A-119 Koala 	L		0	
A129	Agusta / AgustaWestland: A-129 Mangusta 	L		0	
A139	Agusta / AgustaWestland: AB139 / AW139	L		0	
B06	Agusta / AgustaWestland: AB-206 JetRanger / LongRanger	L		0	
B212	Agusta / AgustaWestland: AB-212 	L		0	
B412	Agusta / AgustaWestland: AB-412 Griffon 	L		0	
B47G	Agusta / AgustaWestland: AB-47G 	L		0	
B47J	Agusta / AgustaWestland: AB-47J 	L		0	
EH10	Agusta / AgustaWestland: EH-101 	M		0	
S61R	Agusta / AgustaWestland: HH-3 	M		0	
S61	Agusta / AgustaWestland: SH-3 	M		0	
CH1	AIDC: A-CH-1 Chung-Tsing	L		0	
AT3	AIDC: AT-3 Tzu-Chung 	M		0	
F5	AIDC: F-5 Chung-Cheng	M		0	
CKUO	AIDC: F-CK-1 Ching-Kuo 	M		0	
ERCO	Air Products: Aircoupe 	L		0	
AT3P	Air Tractor: AT-300 / AT-301 / AT-401	L		0	
AT3T	Air Tractor: AT-302 / AT-400 / AT-402	L		0	
AT5P	Air Tractor: AT-501 	L		0	
AT5T	Air Tractor: AT-502 / AT-503	L		0	
AT6T	Air Tractor: AT-602 	L		0	
AT8T	Air Tractor: AT-802 	L		0	
EC20	Airbus (Helicopters): H120			0	
EC30	Airbus (Helicopters): H130	L		0	
EC35	Airbus (Helicopters): H135	L		0	
EC45	Airbus (Helicopters): H145	L		0	
EC55	Airbus (Helicopters): H155	L		0	
A3ST	Airbus: A300-600ST Beluga 	H		0	
A30B	Airbus: A300B2 / B4 / C4 / F4	H		0	
A306	Airbus: A300B4-600 /C4-600 / F4-600	H	D	0	
A310	Airbus: A310 / CC-150 Polaris 	H	D	0	
A318	Airbus: A318	M		0	
A319	Airbus: A319	M	C	135	Loose
A320	Airbus: A320	M	C	180	Loose
A321	Airbus: A321	M	C	182	Loose
A332	Airbus: A330-200	H	E	371	ULD
A333	Airbus: A330-300	H	E	362	ULD
A342	Airbus: A340-200	H	E	295	ULD
A343	Airbus: A340-300	H	E	265	ULD
A345	Airbus: A340-500	H	E	0	
A346	Airbus: A340-600	H	E	0	
A358	Airbus: A350-800	H		0	
A359	Airbus: A350-900	H		0	
A388	Airbus: A380-800	H		0	
CN35	Airtech: CN-235	M		0	
R200	Alpha: R-2160 Alpha 160 	L		0	
ROND	Ambrosini: F-4 Rondone	L		0	
BL8	American Champion: 8 Scout 	L		0	
CH7B	American Champion: Citabria Adventure 	L		0	
AC90	American: 690 Jetprop Commander 840 / 900	L		0	
AC95	American: 695 Jetprop Commander 1000 	L		0	
AA1	American: AA-1	L		0	
G164	American: G-164 Ag-Cat 	L		0	
GA7	American: GA-7 Cougar 	L		0	
AMX	AMX: A-1 	M		0	
AN12	Antonow / Antonov: An-12	M		0	
A124	Antonow / Antonov: An-124	H	F	0	
A140	Antonow / Antonov: An-140	M		0	
A148	Antonow / Antonov: An-148 	M		0	
AN2	Antonow / Antonov: An-2 	L		0	
AN22	Antonow / Antonov: An-22 Antheus 	H		0	
A225	Antonow / Antonov: An-225 Mriya 	H		0	
AN24	Antonow / Antonov: An-24	M		0	
AN26	Antonow / Antonov: An-26	L		0	
AN28	Antonow / Antonov: An-28 / PZL Mielec M-28	L		0	
AN3	Antonow / Antonov: An-3 	L		0	
AN30	Antonow / Antonov: An-30	L		0	
AN32	Antonow / Antonov: An-32	L		0	
AN38	Antonow / Antonov: An-38	M		0	
AN70	Antonow / Antonov: An-70 	M		0	
AN72	Antonow / Antonov: An-72 / An-74	M	C	0	
A743	Antonow / Antonov: An-74-300 	M		0	
AN8	Antonow / Antonov: An-8 	M		0	
AR79	Arado: Ar-79 	L		0	
METR	Armstrong Withworth: Meteor 	M		0	
SHAW	Armstrong Withworth: Sea Hawk 	M		0	
MIRA	Atlas: Cheetah 	M		0	
RVAL	Atlas: CSH-2 Rooivalk 	M		0	
PC7	Atlas: PC-7 Astra 	L		0	
AT43	ATR: ATR 42-200 / 42-300	M	C	0	
AT45	ATR: ATR 42-500	M		68	ULD
AT72	ATR: ATR 72	M	C	68	Loose
AT44	ATR: ATR-42-400 	M		0	
AUS5	Auster: Auster 5 Alpha 	L		0	
AUS6	Auster: Auster AOP6 	L		0	
AUS9	Auster: Auster AOP9 	L		0	
AUS7	Auster: Auster T7 	L		0	
D4	Auster: D-4 	L		0	
D5	Auster: D-5 	L		0	
D6	Auster: D-6 	L		0	
J1	Auster: J-1 Aiglet 	L		0	
AUJ2	Auster: J-2 Arrow	L		0	
AUJ4	Auster: J-4 Archer	L		0	
ADVE	Auster: J-5 Adventurer 	L		0	
AIGT	Auster: J-5 Aiglet Trainer 	L		0	
ALPI	Auster: J-5 Alpine 	L		0	
ACAR	Auster: J-5 Autocar 	L		0	
NIBB	Aviamilano: F-14 Nibbio	L		0	
F8L	Aviamilano: F-8L Falco	L		0	
P19	Aviamilano: P-19 Scricciolo	L		0	
M110	Aviat: 110 Special 	L		0	
HUSK	Aviat: A-1 Husky 	L		0	
PTSS	Aviat: S-1-11 Super Stinker	L		0	
CARV	Aviation Traders: ATL-98 Carvair 	M		0	
NIPR	Avions Fairey: T-66 Nipper 	L		0	
TIPB	Avions Fairey: Tipsy B 	L		0	
TIJU	Avions Fairey: Tipsy Junior 	L		0	
A504	AVRO: 504	L		0	
AVIN	AVRO: 594 / 616 Avian 	L		0	
TUTR	AVRO: 621 Tutor 	L		0	
ANSN	AVRO: 652 Anson 	L		0	
LANC	AVRO: 683 Lancaster 	M		0	
SHAC	AVRO: 696 Shackleton 	M		0	
A748	AVRO: 748	M		0	
A660	Ayres: S-2R-T660 Turbo Thrush 	L		0	
SS2T	Ayres: Turbo Thrush (S-2R-G/T except T660) 	L		0	
BA11	BAC: 111 One-Eleven 	M		0	
JPRO	BAC: 145 Jet Provost 	L		0	
CNBR	BAC: Canberra 	M		0	
JAGR	BAC: Jaguar 	M		0	
LTNG	BAC: Lightning 	M		0	
VC10	BAC: VC-10 	H		0	
ATP	BAe: ATP	M	C	0	
RJ1H	BAe: Avro RJ100	M	C	100	Loose
RJ70	BAe: Avro RJ70	M		0	
RJ85	BAe: Avro RJ85	M	C	0	
H25C	BAe: BAe-125-1000 	M		0	
H25B	BAe: BAe-125-700 	M		0	
B461	BAe: BAe-146-100 	M		0	
B462	BAe: BAe-146-200 	M		0	
B463	BAe: BAe-146-300 	M		0	
JS31	BAe: BAe-3100 Jetstream 31 	L	B	0	
JS32	BAe: BAe-3200 Jetstream Super 31 	M		0	
JS41	BAe: BAe-4100 Jetstream 41 	M	B	0	
BDOG	BAe: Bulldog 	L		0	
HAR	BAe: Harrier 	M		0	
HAWK	BAe: Hawk 	M		0	
NIM	BAe: Nimrod 	M		0	
DC3T	Basler: BT-67 Turbo 67 	M		0	
AIRD	Beagle: A-109 Airedale 	L		0	
PUP	Beagle: B-121 Pup	L		0	
BASS	Beagle: B-206 	L		0	
AU11	Beagle: E-3 Auster AOP11 	L		0	
BE10	Beech: 100 King Air 	L		0	
BE20	Beech: 1300 Commuter 	L		0	
BE17	Beech: 17 Staggerwing 	L		0	
BE18	Beech: 18	L		0	
B18T	Beech: 18 (turbine) 	L		0	
B190	Beech: 1900	M	B	0	
STAR	Beech: 2000 Starship 	L		0	
BE23	Beech: 23 Musketeer 	L		0	
BE24	Beech: 24 Musketeer Super 	L		0	
B350	Beech: 300 (B300) Super King Air 350 	L		0	
BE30	Beech: 300 Super King Air 	L		0	
BE33	Beech: 33 Bonanza 	L		0	
BE35	Beech: 35 Bonanza 	L		0	
BE36	Beech: 36 Bonanza	L		0	
B36T	Beech: 36 Bonanza (turbine) 	L		0	
BE40	Beech: 400 Beechjet 	M		0	
T34P	Beech: 45 Mentor 	L		0	
BE50	Beech: 50 Twin Bonanza 	L		0	
BE55	Beech: 55 Baron 	L		0	
BE58	Beech: 58 Baron 	L		0	
BE60	Beech: 60 Duke 	L		0	
